TimeStamp,GantryFrom,GantryTo,VehicleType,Speed,Volume
2025/1/1 00:00,03F2078N,03F2066N,42,72,1
2025/1/1 00:00,03F2078N,03F2066N,5,48,2
2025/1/1 00:00,03F2066S,03F2079S,5,77,2
2025/1/1 00:00,03F2152S,03F2194S,5,79,1
2025/1/1 00:05,03F2066S,03F2079S,42,75,1
2025/1/1 00:05,03F2066S,03F2079S,5,75,2
2025/1/1 00:05,03F2079S,03F2100S,42,79,1
2025/1/1 00:05,03F2079S,03F2100S,5,77,2
2025/1/1 00:05,03F2153N,03F2125N,5,79,2
2025/1/1 00:05,03F2194N,03F2153N,5,77,2
2025/1/1 00:10,03F2153N,03F2125N,42,79,3
2025/1/1 00:10,03F2100S,03F2129S,42,79,3
2025/1/1 00:15,03F2100N,03F2078N,42,79,1
2025/1/1 00:15,03F2100N,03F2078N,5,79,1
2025/1/1 00:35,03F2125N,03F2100N,42,3,1
2025/1/1 00:35,03F2153N,03F2125N,5,75,2
2025/1/1 00:35,03F2194N,03F2153N,5,77,2
2025/1/1 00:40,03F2078N,03F2066N,5,68,1
2025/1/1 00:40,03F2100N,03F2078N,42,75,1
2025/1/1 00:40,03F2100N,03F2078N,5,64,1
2025/1/1 00:40,03F2125N,03F2100N,5,75,1
2025/1/1 00:45,03F2100N,03F2078N,5,79,1
2025/1/1 00:50,03F2066S,03F2079S,42,77,2
2025/1/1 00:50,03F2100S,03F2129S,42,75,3
2025/1/1 01:05,03F2066S,03F2079S,5,79,3
2025/1/1 01:10,03F2078N,03F2066N,5,79,3
2025/1/1 01:10,03F2100N,03F2078N,5,79,3
2025/1/1 01:15,03F2079S,03F2100S,5,75,1
2025/1/1 01:20,03F2100S,03F2129S,42,75,3
2025/1/1 01:20,03F2129S,03F2152S,42,68,1
2025/1/1 01:25,03F2129S,03F2152S,42,72,1
2025/1/1 01:25,03F2152S,03F2194S,42,75,1
2025/1/1 01:40,03F2066S,03F2079S,5,18,1
2025/1/1 01:40,03F2153N,03F2125N,5,79,1
2025/1/1 01:40,03F2129S,03F2152S,5,79,1
2025/1/1 01:45,03F2078N,03F2066N,5,75,1
2025/1/1 01:45,03F2066S,03F2079S,5,79,3
2025/1/1 01:50,03F2079S,03F2100S,5,72,1
2025/1/1 01:50,03F2100S,03F2129S,5,73,2
2025/1/1 02:05,03F2066S,03F2079S,5,75,1
2025/1/1 02:05,03F2079S,03F2100S,5,79,1
2025/1/1 02:10,03F2100S,03F2129S,5,79,1
2025/1/1 02:25,03F2078N,03F2066N,5,48,2
2025/1/1 02:25,03F2066S,03F2079S,5,79,2
2025/1/1 02:30,03F2129S,03F2152S,5,79,1
2025/1/1 02:40,03F2100N,03F2078N,42,75,1
2025/1/1 02:40,03F2153N,03F2125N,5,77,2
2025/1/1 02:40,03F2194N,03F2153N,5,77,2
2025/1/1 02:45,03F2078N,03F2066N,42,75,1
2025/1/1 02:50,03F2066S,03F2079S,5,39,2
2025/1/1 02:50,03F2125N,03F2100N,5,79,1
2025/1/1 02:50,03F2153N,03F2125N,5,79,1
2025/1/1 02:55,03F2066S,03F2079S,5,0,1
2025/1/1 02:55,03F2153N,03F2125N,42,0,1
2025/1/1 03:05,03F2100N,03F2078N,42,52,2
2025/1/1 03:20,03F2100S,03F2129S,5,75,1
2025/1/1 03:25,03F2078N,03F2066N,5,72,1
2025/1/1 03:25,03F2129S,03F2152S,5,75,1
2025/1/1 03:25,03F2152S,03F2194S,5,75,1
2025/1/1 03:35,03F2066S,03F2079S,5,79,1
2025/1/1 03:40,03F2078N,03F2066N,5,75,1
2025/1/1 03:45,03F2100S,03F2129S,5,7,1
2025/1/1 03:55,03F2194N,03F2153N,42,79,3
2025/1/1 04:00,03F2100N,03F2078N,5,79,1
2025/1/1 04:00,03F2125N,03F2100N,32,55,2
2025/1/1 04:05,03F2100N,03F2078N,5,54,2
2025/1/1 04:05,03F2066S,03F2079S,42,79,1
2025/1/1 04:05,03F2100S,03F2129S,42,75,1
2025/1/1 04:05,03F2129S,03F2152S,42,79,1
2025/1/1 04:15,03F2100N,03F2078N,41,75,1
2025/1/1 04:15,03F2100N,03F2078N,5,79,3
2025/1/1 04:15,03F2129S,03F2152S,42,79,3
2025/1/1 04:25,03F2100N,03F2078N,5,25,1
2025/1/1 04:25,03F2066S,03F2079S,5,75,3
2025/1/1 04:25,03F2079S,03F2100S,5,75,2
2025/1/1 04:30,03F2078N,03F2066N,5,57,1
2025/1/1 04:30,03F2129S,03F2152S,5,75,3
2025/1/1 04:30,03F2152S,03F2194S,5,72,1
2025/1/1 04:35,03F2066S,03F2079S,42,77,2
2025/1/1 04:40,03F2100S,03F2129S,42,79,2
2025/1/1 04:40,03F2129S,03F2152S,42,79,1
2025/1/1 04:40,03F2129S,03F2152S,5,75,1
2025/1/1 04:50,03F2100N,03F2078N,5,79,1
2025/1/1 04:50,03F2066S,03F2079S,42,79,1
2025/1/1 04:50,03F2194N,03F2153N,5,75,1
2025/1/1 04:55,03F2078N,03F2066N,42,68,2
2025/1/1 04:55,03F2078N,03F2066N,5,79,4
2025/1/1 04:55,03F2100N,03F2078N,42,66,2
2025/1/1 04:55,03F2153N,03F2125N,5,79,1
2025/1/1 04:55,03F2152S,03F2194S,5,79,1
2025/1/1 05:05,03F2066S,03F2079S,42,79,1
2025/1/1 05:05,03F2129S,03F2152S,42,79,1
2025/1/1 05:10,03F2078N,03F2066N,42,75,1
2025/1/1 05:10,03F2100N,03F2078N,42,75,1
2025/1/1 05:10,03F2066S,03F2079S,42,72,1
2025/1/1 05:10,03F2066S,03F2079S,5,79,2
2025/1/1 05:15,03F2078N,03F2066N,5,70,6
2025/1/1 05:15,03F2194N,03F2153N,41,79,1
2025/1/1 05:15,03F2152S,03F2194S,42,48,2
2025/1/1 05:25,03F2100N,03F2078N,42,79,1
2025/1/1 05:30,03F2152S,03F2194S,5,48,2
2025/1/1 05:40,03F2079S,03F2100S,5,75,1
2025/1/1 05:40,03F2129S,03F2152S,41,79,1
2025/1/1 05:40,03F2194N,03F2153N,5,79,1
2025/1/1 05:50,03F2125N,03F2100N,5,72,1
2025/1/1 05:55,03F2078N,03F2066N,5,73,4
2025/1/1 05:55,03F2129S,03F2152S,5,79,1
2025/1/1 06:00,03F2066S,03F2079S,42,75,2
2025/1/1 06:00,03F2100S,03F2129S,41,77,2
2025/1/1 06:05,03F2100N,03F2078N,41,43,1
2025/1/1 06:05,03F2125N,03F2100N,42,75,1
2025/1/1 06:05,03F2153N,03F2125N,41,79,2
2025/1/1 06:05,03F2100S,03F2129S,41,75,1
2025/1/1 06:05,03F2100S,03F2129S,42,75,3
2025/1/1 06:15,03F2078N,03F2066N,41,79,1
2025/1/1 06:15,03F2100S,03F2129S,5,79,3
2025/1/1 06:20,03F2100N,03F2078N,42,79,3
2025/1/1 06:20,03F2066S,03F2079S,5,79,5
2025/1/1 06:25,03F2066S,03F2079S,42,79,5
2025/1/1 06:30,03F2078N,03F2066N,42,79,3
2025/1/1 06:35,03F2078N,03F2066N,5,75,5
2025/1/1 06:45,03F2153N,03F2125N,42,68,2
2025/1/1 06:50,03F2066S,03F2079S,5,77,6
2025/1/1 06:55,03F2066S,03F2079S,5,75,5
2025/1/1 07:00,03F2078N,03F2066N,5,3,5
2025/1/1 07:00,03F2100S,03F2129S,5,75,4
2025/1/1 07:05,03F2078N,03F2066N,41,72,1
2025/1/1 07:05,03F2100S,03F2129S,5,75,3
2025/1/1 07:05,03F2129S,03F2152S,5,79,5
2025/1/1 07:05,03F2152S,03F2194S,5,79,5
2025/1/1 07:15,03F2100N,03F2078N,42,72,5
2025/1/1 07:20,03F2125N,03F2100N,41,79,1
2025/1/1 07:20,03F2152S,03F2194S,5,79,1
2025/1/1 07:25,03F2078N,03F2066N,41,79,1
2025/1/1 07:25,03F2078N,03F2066N,42,75,7
2025/1/1 07:25,03F2100N,03F2078N,42,79,5
2025/1/1 07:40,03F2194N,03F2153N,42,79,7
2025/1/1 07:50,03F2079S,03F2100S,42,79,3
2025/1/1 07:55,03F2078N,03F2066N,42,79,9
2025/1/1 07:55,03F2194N,03F2153N,41,70,2
2025/1/1 08:05,03F2129S,03F2152S,42,79,3
2025/1/1 08:10,03F2066S,03F2079S,41,79,5
2025/1/1 08:10,03F2066S,03F2079S,42,79,9
2025/1/1 08:10,03F2153N,03F2125N,42,75,3
2025/1/1 08:15,03F2078N,03F2066N,42,77,4
2025/1/1 08:15,03F2066S,03F2079S,5,75,3
2025/1/1 08:20,03F2066S,03F2079S,5,79,2
2025/1/1 08:30,03F2100N,03F2078N,42,79,2
2025/1/1 08:40,03F2078N,03F2066N,42,79,8
2025/1/1 08:40,03F2100N,03F2078N,42,75,4
2025/1/1 08:45,03F2066S,03F2079S,5,79,3
2025/1/1 08:55,03F2066S,03F2079S,42,79,5
2025/1/1 08:55,03F2066S,03F2079S,5,79,2
2025/1/1 09:00,03F2100S,03F2129S,42,79,5
2025/1/1 09:20,03F2066S,03F2079S,5,73,4
2025/1/1 09:20,03F2079S,03F2100S,42,79,3
2025/1/1 09:20,03F2100S,03F2129S,42,75,3
2025/1/1 09:25,03F2078N,03F2066N,5,79,5
2025/1/1 09:25,03F2100N,03F2078N,5,79,3
2025/1/1 09:25,03F2066S,03F2079S,41,72,1
