GantryFrom,GantryTo,VehicleType,Speed,Volume
03F2066S,03F2079S,5,74.84473166138834,11683.0
03F2066S,03F2079S,31,37.338392565264094,42826.0
03F2066S,03F2079S,32,39.70047329276538,10353.0
03F2066S,03F2079S,41,64.41648706896552,1856.0
03F2066S,03F2079S,42,76.43522217692622,12265.0
03F2078N,03F2066N,5,72.7790303030303,8250.0
03F2078N,03F2066N,31,72.6822125813449,18440.0
03F2078N,03F2066N,32,71.01059494702527,4908.0
03F2078N,03F2066N,41,73.75847750865051,1445.0
03F2078N,03F2066N,42,75.54696063776781,8028.0
03F2079S,03F2100S,5,72.46558505408063,6102.0
03F2079S,03F2100S,31,36.78588359230972,75940.0
03F2079S,03F2100S,32,37.96036486046259,18418.0
03F2079S,03F2100S,41,49.75312669929309,1839.0
03F2079S,03F2100S,42,72.76864372740661,7469.0
03F2100N,03F2078N,5,76.21955929123126,8804.0
03F2100N,03F2078N,31,77.15296235505903,37774.0
03F2100N,03F2078N,32,76.94879134860051,12576.0
03F2100N,03F2078N,41,72.73014306857425,2027.0
03F2100N,03F2078N,42,76.59686174724342,11790.0
03F2100S,03F2129S,5,75.38921205711264,5673.0
03F2100S,03F2129S,31,53.14730159871959,111214.0
03F2100S,03F2129S,32,53.72722270261772,25442.0
03F2100S,03F2129S,41,62.58492496589359,2932.0
03F2100S,03F2129S,42,74.39988767200225,7122.0
03F2125N,03F2100N,5,59.367171510437984,2443.0
03F2125N,03F2100N,31,58.7687792694349,96090.0
03F2125N,03F2100N,32,56.15047009073367,24357.0
03F2125N,03F2100N,41,59.85435897435897,1950.0
03F2125N,03F2100N,42,58.85069654754694,3302.0
03F2129S,03F2152S,5,75.72421981004071,2948.0
03F2129S,03F2152S,31,66.42466195818531,142438.0
03F2129S,03F2152S,32,67.10572947430596,33860.0
03F2129S,03F2152S,41,70.51528776978417,1112.0
03F2129S,03F2152S,42,74.16942585417401,2839.0
03F2152S,03F2194S,5,73.17218934911243,1690.0
03F2152S,03F2194S,31,36.99536913941328,90264.0
03F2152S,03F2194S,32,37.374066530889344,20622.0
03F2152S,03F2194S,41,46.00518806744488,771.0
03F2152S,03F2194S,42,64.93735849056604,1325.0
03F2153N,03F2125N,5,72.86535433070866,3810.0
03F2153N,03F2125N,31,64.85386215157595,272154.0
03F2153N,03F2125N,32,63.95108946505594,62829.0
03F2153N,03F2125N,41,67.92756385817766,2623.0
03F2153N,03F2125N,42,71.00856813313561,6069.0
03F2194N,03F2153N,5,72.91018998272884,1737.0
03F2194N,03F2153N,31,48.14219810775676,221536.0
03F2194N,03F2153N,32,48.16884533920969,46741.0
03F2194N,03F2153N,41,45.08664259927798,1385.0
03F2194N,03F2153N,42,64.87632311977715,1795.0
