GantryFrom,GantryTo,VehicleType,Speed,Volume
03F2066S,03F2079S,5,85.7467088569808,66998
03F2066S,03F2079S,31,98.24288151744925,2068313
03F2066S,03F2079S,32,95.49748636067245,639511
03F2066S,03F2079S,41,91.56113187399893,26222
03F2066S,03F2079S,42,87.36978683966636,93873
03F2078N,03F2066N,5,86.49178320551653,77585
03F2078N,03F2066N,31,97.32654089763005,2041732
03F2078N,03F2066N,32,94.86881464980796,634766
03F2078N,03F2066N,41,90.96065113455263,26354
03F2078N,03F2066N,42,87.65491537488137,101152
03F2079S,03F2100S,5,86.99453250700196,67124
03F2079S,03F2100S,31,101.6141237608695,1987785
03F2079S,03F2100S,32,97.05152925423342,612390
03F2079S,03F2100S,41,93.05885954528756,24499
03F2079S,03F2100S,42,87.72805085484997,91712
03F2100N,03F2078N,5,86.33880708616128,69544
03F2100N,03F2078N,31,98.47133275912462,1933095
03F2100N,03F2078N,32,95.10082725109348,601752
03F2100N,03F2078N,41,90.64066724905362,24039
03F2100N,03F2078N,42,87.16698508056055,90553
03F2100S,03F2129S,5,86.36345818453617,60205
03F2100S,03F2129S,31,99.70032697559789,1800746
03F2100S,03F2129S,32,96.66736524287363,506745
03F2100S,03F2129S,41,90.45160280245803,25549
03F2100S,03F2129S,42,87.52668404253836,71747
03F2125N,03F2100N,5,91.72714546117389,68575
03F2125N,03F2100N,31,104.11868778986515,1801053
03F2125N,03F2100N,32,101.33243418043001,507144
03F2125N,03F2100N,41,95.16882668711656,26080
03F2125N,03F2100N,42,92.76388653185907,76603
03F2129S,03F2152S,5,87.37419662859452,54458
03F2129S,03F2152S,31,100.83205912202756,2517505
03F2129S,03F2152S,32,97.75802916802091,766113
03F2129S,03F2152S,41,93.50051428826976,22361
03F2129S,03F2152S,42,89.26068701525142,99794
03F2152S,03F2194S,5,88.93065241945605,55777
03F2152S,03F2194S,31,103.683729174788,2503696
03F2152S,03F2194S,32,100.78548395285773,768143
03F2152S,03F2194S,41,96.25555306259815,22285
03F2152S,03F2194S,42,91.91273624310804,101749
03F2153N,03F2125N,5,87.73981944853301,61146
03F2153N,03F2125N,31,99.87844250129487,2297530
03F2153N,03F2125N,32,96.42066236055659,717585
03F2153N,03F2125N,41,91.11695310224293,20598
03F2153N,03F2125N,42,89.06078431372549,96390
03F2194N,03F2153N,5,88.86054162296176,62922
03F2194N,03F2153N,31,102.87744950799055,2277192
03F2194N,03F2153N,32,99.90434824808308,721210
03F2194N,03F2153N,41,94.76782370733112,20829
03F2194N,03F2153N,42,91.37785055194449,100463
