編號,行政區,設置地點,取締項目,速限speed,緯度,經度,固定式,轄區分局,取締行向
1,中區,中區建國路與民權路口(西向東),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.135622,120.681878,是,,
2,西區,西區臺灣大道二段與忠明路口(東向西),闖紅燈、不依標誌、標線、號誌指示行駛,60,24.156785,120.659896,是,,
3,西區,西區臺灣大道二段與忠明南路口(西向東),闖紅燈、不依標誌、標線、號誌指示行駛,60,24.157249,120.659288,是,,
4,西區,西區忠明南路口與民生路口(北向南),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.14457,120.657342,是,,
5,西區,西區忠明南路與忠明南路326巷口(南北雙向),超速,50,24.13757,120.657325,是,,
6,西區,西區五權路與英才路口(東向西),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.141408,120.667022,是,,
7,西區,西區建國北路二段101號前(東西雙向),超速,50,24.128282,120.664489,是,,
8,西區,西區建國北路三段與公?路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.131825,120.672499,是,,
9,西區,西區福人街與忠明南路,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.142598,120.657352,是,,
10,西區,西區五權西路與五權路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.140146,120.664447,是,,
11,北區,北區東光路270號前(北向南),超速,50,24.152458,120.69855,是,,
12,北區,北區崇德路一段與太原路二段路口(北向南),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.165606,120.685095,是,,
13,北區,北區進化北路與學士路口(東向西),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.16301,120.681292,是,,
14,北區,北區三民路三段與崇德路一段路口 (往五權路方向),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.154957,120.686543,是,,
15,北區,北區三民路三段與育才街口(往公園路方向),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.150147,120.684266,是,,
16,北區,北區進化路與興進路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.155866,120.694394,是,,
17,北區,北區中清路一段447號前與漢口路三、四段,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.16649,120.673487,是,,
18,東區,東區建成路521號前(東西雙向),超速,50,24.134548,120.695708,是,,
19,東區,東區旱溪西路二段17巷口(南向北),超速,50,24.149634,120.699491,是,,
20,東區,東區環中東路四段與樂業路口(北向南),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.135724,120.70936,是,,
21,東區,東區旱溪西路一段300號前(成功國小往南),超速,50,24.137129,120.69985,是,,
22,東區,東區旱溪東路一段與十甲路路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.144616,120.701025,是,,
23,南區,南區南平路97號前(東西雙向),超速,50,24.122249,120.664041,是,,
24,南區,南區忠明南路1265號前(東西雙向),超速,50,24.119066,120.682291,是,,
25,南區,南區文心南路930號前(北向南),超速,60,24.110003,120.660735,是,,
26,南區,南區國光路與南門路口(北向南),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.122667,120.679329,是,,
27,南區,南區復興路一段129號前(東向西),超速,60,24.111053,120.648396,是,,
28,南區,南區復興路一段與工學路口(西向東),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.117343,120.658001,是,,
29,南屯區,南屯區永春南路148號前(西向東),超速,50,24.138644,120.609224,是,,
30,南屯區,南屯區中彰快速道路4.8K(南北雙向),超速,80,24.129442,120.619802,是,,
31,南屯區,南屯區環中路三段與五權西路二段口(北向南),闖紅燈、不依標誌、標線、號誌指示行駛,40,24.149775,120.623196,是,,
32,南屯區,南屯區環中路四段與向上路三段路口,闖紅燈、不依標誌、標線、號誌指示行駛,40,24.144829,120.623503,是,,
33,南屯區,南屯區公益路二段與文心路一段路口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.150769,120.647317,是,,
34,南屯區,南屯區環中路四段643號前(北向南),超速,60,24.127451,120.629673,是,,
35,南屯區,南屯區向上路五段(西向東、往市區距離精科路360公尺),超速,60,24.151878,120.604405,是,,
36,南屯區,南屯區環中路四段56-8號(南北雙向),超速,60,24.147081,120.623286,是,,
37,南屯區,南屯區五權西路二段1001號前(東西雙向),超速,50,24.146922,120.630354,是,,
38,南屯區,南屯區五權西路三段225-7號前(東西雙向),超速,50,24.154502,120.611018,是,,
39,南屯區,南屯區永春東路1392號對面(西向東),超速,50,24.138729,120.630772,是,,
40,南屯區,南屯區向上路三段418號前(西向東),超速,50,24.145043,120.627251,是,,
41,南屯區,南屯區向上路五段往龍井區方向(距五權西路1.2K處),超速,60,24.161362,120.587189,是,,
42,南屯區,南屯區永春南路往888巷口方向,超速,40,24.142575,120.592256,是,,
43,南屯區,南屯區文心南路近三民西路,超速,50,24.126881,120.646215,是,,
44,南屯區,南屯區永春東路與益豐路路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.140208,120.628398,是,,
45,南屯區,南屯區五權西路二段與文心路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.140086,120.647339,是,,
46,北屯區,北屯區太原路三段與旱溪東路三段路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.164805,120.706021,是,,
47,北屯區,北屯區崇德路二段與文心路四段路口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.172531,120.68546,是,,
48,北屯區,北屯區四平路仁愛公園旁(西向東),超速,50,24.181917,120.674286,是,,
49,北屯區,北屯區崇德路三段938號前(南北雙向),超速,60,24.203174,120.686702,是,,
50,北屯區,北屯區?子路456號前(南向北),超速,50,24.167745,120.733455,是,,
51,北屯區,北屯區?子路與?子路700巷口(東向西),超速,50,24.176615,120.738278,是,,
52,北屯區,北屯區旱溪東路三段51號前(北向南),超速,50,24.176659,120.710649,是,,
53,北屯區,北屯區太原路三段1027-1號前(西向東),超速,60,24.163551,120.717815,是,,
54,北屯區,北屯區軍功路二段571號前(北向南),超速,50,24.188056,120.718339,是,,
55,北屯區,北屯區松竹路三段與后庄路口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.192784,120.671495,是,,
56,北屯區,北屯區環中東路三段與太原路三段路口(下閘道及慢車道往太平),闖紅燈、不依標誌、標線、號誌指示行駛,40,24.163439,120.719381,是,,
57,北屯區,北屯區松竹路一段360號前(往環中東路一段方向),超速,50,24.180975,120.72484,是,,
58,北屯區,北屯區東山路二段151-3號前(往市區),超速,50,24.198912,120.765478,是,,
59,北屯區,北屯區祥順路二段398號前(北向南),超速,50,24.176297,120.735187,是,,
60,北屯區,北屯區太原路3段1225號(新平基督長老教會前),超速,60,24.161686,120.725152,是,,
61,北屯區,北屯區東山路二段(大坑國小往新社),超速,50,24.197583,120.748216,是,,
62,北屯區,北屯區北屯路與松竹路口(往市區方向),闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.182399,120.70191,是,,
63,北屯區,北屯區崇德路與崇德八路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.183263,120.686219,是,,
64,北屯區,北屯區文心路4段715號前,超速,50,24.171766,120.689325,是,,
65,西屯區,西屯區臺灣大道三段與河南路三段路口(往市區),闖紅燈、不依標誌、標線、號誌指示行駛,60,24.164878,120.640725,是,,
66,西屯區,西屯區臺灣大道四段與東大路一段路口(往市區),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.1827,120.6022,是,,
67,西屯區,西屯區中清路二段與環中路一段路口(往大雅區),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.199212,120.65583,是,,
68,西屯區,西屯區環中路三段(南北雙向、龍洋巷50-15號前),超速,60,24.167393,120.630821,是,,
69,西屯區,西屯區環中路二段766號(南向北),超速,60,24.193171,120.642666,是,,
70,西屯區,西屯區市政路123號前(西向東),超速,60,24.158368,120.639972,是,,
71,西屯區,西屯區西屯路三段261號前(西向東),超速,50,24.1901,120.6128,是,,
72,西屯區,西屯區臺灣大道四段近東大路一段(西向東、側門慢車道),超速,40,24.182937,120.60272,是,,
73,西屯區,西屯區臺灣大道四段2088號前(往市區),超速,50,24.1819,120.5978,是,,
74,西屯區,西屯區中彰快速道路13.3K(往中清路方向),超速,80,24.197181,120.650086,是,,
75,西屯區,西屯區中彰快速道路12.7K(往烏日方向),超速,80,24.194983,120.644773,是,,
76,西屯區,西屯區黎明路三段與僑大五路口,超速,50,24.191656,120.64392,是,,
77,西屯區,西屯區安和路99-38號前(南向北),超速,50,24.171977,120.621162,是,,
78,西屯區,西屯區福雅路與西林巷口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.201817,120.627752,是,,
79,西屯區,西屯區臺灣大道四段與中工三路口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.181043,120.619837,是,,
80,西屯區,西屯區河南路二段與長安路二段路口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.172568,120.660653,是,,
81,西屯區,西屯區都會園路(北向南、往西屯路距都會公園1.35公里),超速,50,24.196201,120.594749,是,,
82,西屯區,西屯區福科路617號前往福林路方向中央分隔島,超速,50,24.186693,120.612841,是,,
83,西屯區,西屯區東大路一段450號前往西屯路三段方向,超速,50,24.186529,120.604141,是,,
84,西屯區,西屯區工業區一路100號對面,超速,40,24.170066,120.609704,是,,
85,西屯區,西屯區安和路41之8號(安順路與協和南巷口),超速,50,24.164847,120.618539,是,,
86,西屯區,西屯區環中路與朝馬路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.170316,120.632372,是,,
87,豐原區,豐原區圓環北路二段與大順街口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.260451,120.723553,是,,
88,豐原區,豐原區豐勢路二段與豐年路口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.261272,120.736851,是,,
89,豐原區,豐原區豐原大道八段(南北雙向、愛心紀念公園前),超速,60,24.256583,120.706631,是,,
90,豐原區,豐原區豐勢路二段與萬順一街口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.277003,120.759612,是,,
91,豐原區,豐原區豐原大道四段近379號前(東向西),超速,60,24.247549,120.736397,是,,
92,豐原區,豐原區豐原大道六段516號前(東向西),超速,60,24.264331,120.725737,是,,
93,豐原區,豐原區國豐路一段501號(西向東、拖吊場前),超速,50,24.277453,120.712955,是,,
94,豐原區,豐原區豐勢路與國豐路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.26891,120.749916,是,,
95,豐原區,豐原區三豐路二段510號前(三豐路二段與國豐路),超速,50,24.27512,120.722057,是,,
96,豐原區,豐原區豐原大道與西勢路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.238046,120.7036,是,,
97,豐原區,豐原區中山路與豐原大道路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,60,24.249547,120.702993,是,,
98,潭子區,潭子區中山路二段與潭子街一段路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.210285,120.70532,是,,
99,潭子區,潭子區崇德路四段與雅潭路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.21576,120.688341,是,,
100,潭子區,潭子區中山路三段與祥和路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.22941,120.708612,是,,
101,潭子區,潭子區豐興路二段(北向南、中89線4.2K),超速,50,24.209266,120.721739,是,,
102,潭子區,潭子區豐興路二段(南向北、中89線3.96K北上),超速,50,24.210612,120.72229,是,,
103,潭子區,潭子區中山路一段261號前(北向南),超速,60,24.198018,120.702974,是,,
104,潭子區,潭子區中彰快速道路19.4K(往東 霧峰方向),超速,80,24.200466,120.709779,是,,
105,潭子區,潭子區中彰快速道路19.4K(往西 快官方向),超速,80,24.20075,120.709751,是,,
106,潭子區,潭子區中山路二段與雅潭路一段口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.215494,120.705241,是,,
107,神岡區,神岡區崇德路3之1號前(南北雙向),超速,60,24.229821,120.690653,是,,
108,神岡區,神岡區民生路122號前(東西雙向、台10線17.4K),超速,60,24.240812,120.675002,是,,
109,大雅區,大雅區中科路1088號前往永和路方向快慢分隔島,超速,60,24.205421,120.632072,是,,
110,大雅區,大雅區雅潭路三段與雅潭路三段400巷口(橋上),超速,50,24.215734,120.670853,是,,
111,大雅區,大雅區中清路四段397號前,超速,70,24.232263,120.639064,是,,
112,大雅區,大雅區東大路二段與月祥路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.220122,120.615296,是,,
113,大雅區,大雅區雅環路一段與雅潭路四段路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.221213,120.65354,是,,
114,霧峰區,霧峰區中投公路11.5K(北上),超速,70,24.036856,120.682793,是,,
115,霧峰區,霧峰區中投公路11.4K(南下),超速,70,24.037436,120.681924,是,,
116,霧峰區,霧峰區中正路569-9號前(南向北),超速,60,24.02899,120.41613,是,,
117,霧峰區,霧峰區環河路一段702號(東向西),超速,60,24.087243,120.658119,是,,
118,霧峰區,霧峰區中正路1236號前,超速,50,24.075363,120.700018,是,,
119,霧峰區,霧峰區環河路一段近638號,超速,60,24.085192,120.659269,是,,
120,大里區,大里區中投公路4.4K(北上),超速,70,24.09063,120.66457,是,,
121,大里區,大里區中投公路4.5K(南下),超速,70,24.089635,120.664259,是,,
122,大里區,大里區文心南路與福德路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.106166,120.665723,是,,
123,大里區,大里區國光路二段505號前(北向南),超速,50,24.0669,120.40746,是,,
124,大里區,大里區國光路一段72號前(南向北),超速,50,24.05835,120.41064,是,,
125,大里區,大里區德芳南路口與環中東路六段路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.06039,120.41471,是,,
126,大里區,大里區環河路一段188號(東向西、中來水泥廠前),超速,60,24.0522,120.40692,是,,
127,大里區,大里區德芳路與樹王路(爽文路)口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,60,24.102864,120.674671,是,,
128,烏日區,烏日區中山路三段與高鐵東路口(往市區方向),闖紅燈、不依標誌、標線、號誌指示行駛,70,24.06411,120.36817,是,,
129,烏日區,烏日區中山路三段與學田路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.108591,120.607533,是,,
130,烏日區,烏日區環中路八段與福泰街口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.086382,120.647893,是,,
131,烏日區,烏日區環中路七段與勤農巷口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.104821,120.652133,是,,
132,烏日區,烏日區環中路六段與光明路口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.10689,120.6498,是,,
133,烏日區,烏日區環河路二段(近春源鋼鐵公司),超速,60,24.094531,120.637001,是,,
134,烏日區,烏日區環中路八段599號前(南北雙向),超速,60,24.0466,120.38841,是,,
135,烏日區,烏日區中山路三段917號前,超速,70,24.11225,120.59575,是,,
136,烏日區,烏日區五光路與復光六巷口(五光路往中山路方向路側),闖紅燈、不依標誌、標線、號誌指示行駛,50,24.099432,120.631565,是,,
137,烏日區,烏日區振興街與沙田路一段路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,40,24.113327,120.587576,是,,
138,大肚區,大肚區自由路與仁德路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.146513,120.549043,是,,
139,大肚區,大肚區沙田路三段889巷路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.169611,120.542141,是,,
140,龍井區,龍井區西濱路二段與臨港東路二段路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.198784,120.513816,是,,
141,龍井區,龍井區中華路一段(南向北、台1線175.5k),超速,70,24.178784,120.543615,是,,
142,龍井區,龍井區中華路一段與茄投路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.176163,120.543062,是,,
143,龍井區,龍井區臺灣大道六段與水裡社路口處(台12線10.1K),超速,70,24.192793,120.579932,是,,
144,龍井區,龍井區向上路六段(東向西、中136線10.2K),超速,60,24.176645,120.579162,是,,
145,龍井區,龍井區中華路二段480號前(南向北),超速,70,24.208696,120.539842,是,,
146,龍井區,龍井區向上路八段與193巷口處,超速,60,24.219356,120.537634,是,,
147,龍井區,龍井區臺灣大道五段與遊園南路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.186184,120.585585,是,,
148,清水區,清水區中華路與高美路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.278491,120.57553,是,,
149,清水區,清水區中華路與鰲峰路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.267813,120.566571,是,,
150,清水區,清水區中清路九段91巷口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.2713,120.564812,是,,
151,清水區,清水區臨港路六段與高美路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.2967,120.564021,是,,
152,清水區,清水區臨港路六段與港埠路五段路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.294133,120.552481,是,,
153,清水區,清水區臨港路七段(東向西、台17線近1K處),超速,70,24.303308,120.586819,是,,
154,清水區,清水區中山路553號前(北向南),超速,70,24.291665,120.587637,是,,
155,清水區,清水區港埠路三段與中社路口(港埠路上、P171),超速,60,24.276736,120.547654,是,,
